id,customer_id,order_date,total_amount,status
1001,1,2025-10-01,1379.98,completed
1002,2,2025-10-02,349.99,completed
1003,3,2025-10-03,729.97,completed
1004,1,2025-10-05,89.99,completed
1005,4,2025-10-06,1949.97,completed
1006,5,2025-10-08,299.99,shipped
1007,6,2025-10-10,649.98,completed
1008,2,2025-10-12,179.96,completed
1009,7,2025-10-14,1699.98,processing
1010,8,2025-10-15,449.97,completed
1011,3,2025-10-17,599.99,shipped
1012,9,2025-10-18,99.98,completed
1013,10,2025-10-20,1549.97,completed
1014,4,2025-10-22,379.98,shipped
1015,1,2025-10-25,149.99,completed
1016,5,2025-10-27,729.96,processing
1017,6,2025-10-29,299.99,completed
1018,7,2025-11-01,1299.99,completed
1019,8,2025-11-03,529.97,shipped
1020,9,2025-11-05,899.97,completed
